FGF4,GDF3,NPPB,NR5A2,PTHLH,T
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
33.22,28.91,28.6,31.09,34.16,32.7
35.37,27.95,28.86,31.22,34.13,33.03
35.3,28.13,29.89,31.3,34.63,34.58
34.87,30.93,28.55,33.43,33.43,32.17
34.21,31.33,28.37,33.85,32.22,31.84
34.79,28.46,29.36,31.74,35.36,32.84
34.9,28.49,29.46,31.63,35,32.82
36.51,31.76,28.49,33.61,34.39,33.52
34.09,28.97,28.13,32.17,32.54,31.57
33.64,29.45,29.2,32.23,33.02,31.4
35.16,30.12,30.37,32.8,33.98,32.99
33.3,29.11,28.42,32.49,32.33,31.47
34.69,28.47,28.24,32.01,31.58,31.39
34.98,29.47,29.72,32.66,32.88,31.56
33.54,29.67,29.26,32.24,32.72,31.5
35.24,29.84,27.82,32.96,32,31.04
35.23,30.16,29.17,31.92,35.04,32.23
35.14,27.14,29.66,30.76,33.84,33.46
35.43,27.26,29.25,30.98,34.48,32.71
34.22,31.4,29.9,32.54,34.79,35.08
36.54,31.76,28.72,33.07,34.22,35.22
36.01,28.71,29.94,31.52,35.22,35.23
34.42,28.18,29.69,31.5,35.59,33.88
35.77,31.64,28.72,33.99,34.9,31.94
34.17,28.97,28.77,31.95,34.63,32.72
36.37,32,28.09,34.65,32.22,33.65
37.31,31.97,28.19,35.54,32.35,34.34
36.47,29.42,27.13,32.41,33.46,32.83
34.82,30.17,28.34,32.57,34.2,32.52
40,31.32,28.07,34.08,32.27,35.37
35.23,30.85,28.34,33.75,32.82,34.46
34,30.33,27.51,32.37,32.97,32.18
